Index,Year,Location,Location Code,Sex,Age,Value
452,2000,Sub-Saharan Africa,947,Male,15,591120
453,2000,Sub-Saharan Africa,947,Male,20,745255
454,2000,Sub-Saharan Africa,947,Male,25,816875
455,2000,Sub-Saharan Africa,947,Male,30,739887
456,2000,Sub-Saharan Africa,947,Male,35,634418
457,2000,Sub-Saharan Africa,947,Male,40,510723
458,2000,Sub-Saharan Africa,947,Male,45,405485
459,2000,Sub-Saharan Africa,947,Male,50,315887
460,2000,Sub-Saharan Africa,947,Male,55,244820
461,2000,Sub-Saharan Africa,947,Male,60,187838
462,2000,Sub-Saharan Africa,947,Male,65,123268
463,2000,Sub-Saharan Africa,947,Male,70,75326
464,2000,Sub-Saharan Africa,947,Male,75,84845
465,2000,Sub-Saharan Africa,947,Female,0,463753
466,2000,Sub-Saharan Africa,947,Female,5,497835
467,2000,Sub-Saharan Africa,947,Female,10,512371
468,2000,Sub-Saharan Africa,947,Female,15,611244
469,2000,Sub-Saharan Africa,947,Female,20,752366
470,2000,Sub-Saharan Africa,947,Female,25,754151
471,2000,Sub-Saharan Africa,947,Female,30,629139
472,2000,Sub-Saharan Africa,947,Female,35,502941
473,2000,Sub-Saharan Africa,947,Female,40,385269
474,2000,Sub-Saharan Africa,947,Female,45,296160
475,2000,Sub-Saharan Africa,947,Female,50,229043
476,2000,Sub-Saharan Africa,947,Female,55,182921
477,2000,Sub-Saharan Africa,947,Female,60,145742
478,2000,Sub-Saharan Africa,947,Female,65,102447
479,2000,Sub-Saharan Africa,947,Female,70,67414
480,2000,Sub-Saharan Africa,947,Female,75,78441
481,2005,Sub-Saharan Africa,947,Both,0,1034882
482,2005,Sub-Saharan Africa,947,Both,5,1069954
483,2005,Sub-Saharan Africa,947,Both,10,1069072
484,2005,Sub-Saharan Africa,947,Both,15,1174209
485,2005,Sub-Saharan Africa,947,Both,20,1402051
486,2005,Sub-Saharan Africa,947,Both,25,1557317
487,2005,Sub-Saharan Africa,947,Both,30,1527641
488,2005,Sub-Saharan Africa,947,Both,35,1332506
489,2005,Sub-Saharan Africa,947,Both,40,1092284
490,2005,Sub-Saharan Africa,947,Both,45,859201
491,2005,Sub-Saharan Africa,947,Both,50,670340
492,2005,Sub-Saharan Africa,947,Both,55,516244
493,2005,Sub-Saharan Africa,947,Both,60,384447
494,2005,Sub-Saharan Africa,947,Both,65,262820
495,2005,Sub-Saharan Africa,947,Both,70,162632
496,2005,Sub-Saharan Africa,947,Both,75,174769
497,2005,Sub-Saharan Africa,947,Male,0,524444
498,2005,Sub-Saharan Africa,947,Male,5,537806
499,2005,Sub-Saharan Africa,947,Male,10,533213
500,2005,Sub-Saharan Africa,947,Male,15,574597
501,2005,Sub-Saharan Africa,947,Male,20,691253
502,2005,Sub-Saharan Africa,947,Male,25,799906
503,2005,Sub-Saharan Africa,947,Male,30,826725
504,2005,Sub-Saharan Africa,947,Male,35,755414
505,2005,Sub-Saharan Africa,947,Male,40,640258
506,2005,Sub-Saharan Africa,947,Male,45,509020
507,2005,Sub-Saharan Africa,947,Male,50,400578
508,2005,Sub-Saharan Africa,947,Male,55,304837
509,2005,Sub-Saharan Africa,947,Male,60,223096
510,2005,Sub-Saharan Africa,947,Male,65,150479
511,2005,Sub-Saharan Africa,947,Male,70,91715
512,2005,Sub-Saharan Africa,947,Male,75,93825
513,2005,Sub-Saharan Africa,947,Female,0,510438
514,2005,Sub-Saharan Africa,947,Female,5,532148
515,2005,Sub-Saharan Africa,947,Female,10,535859
516,2005,Sub-Saharan Africa,947,Female,15,599612
517,2005,Sub-Saharan Africa,947,Female,20,710798
518,2005,Sub-Saharan Africa,947,Female,25,757411
519,2005,Sub-Saharan Africa,947,Female,30,700916
520,2005,Sub-Saharan Africa,947,Female,35,577092
521,2005,Sub-Saharan Africa,947,Female,40,452026
522,2005,Sub-Saharan Africa,947,Female,45,350181
523,2005,Sub-Saharan Africa,947,Female,50,269762
524,2005,Sub-Saharan Africa,947,Female,55,211407
525,2005,Sub-Saharan Africa,947,Female,60,161351
526,2005,Sub-Saharan Africa,947,Female,65,112341
527,2005,Sub-Saharan Africa,947,Female,70,70917
528,2005,Sub-Saharan Africa,947,Female,75,80944
529,2010,Sub-Saharan Africa,947,Both,0,1045939
530,2010,Sub-Saharan Africa,947,Both,5,1098301
531,2010,Sub-Saharan Africa,947,Both,10,1138516
532,2010,Sub-Saharan Africa,947,Both,15,1303326
533,2010,Sub-Saharan Africa,947,Both,20,1535625
534,2010,Sub-Saharan Africa,947,Both,25,1698710
535,2010,Sub-Saharan Africa,947,Both,30,1650878
536,2010,Sub-Saharan Africa,947,Both,35,1505997
537,2010,Sub-Saharan Africa,947,Both,40,1267674
538,2010,Sub-Saharan Africa,947,Both,45,1041020
539,2010,Sub-Saharan Africa,947,Both,50,814903
540,2010,Sub-Saharan Africa,947,Both,55,621517
541,2010,Sub-Saharan Africa,947,Both,60,454229
542,2010,Sub-Saharan Africa,947,Both,65,296346
543,2010,Sub-Saharan Africa,947,Both,70,171531
544,2010,Sub-Saharan Africa,947,Both,75,210125
545,2010,Sub-Saharan Africa,947,Male,0,512881
546,2010,Sub-Saharan Africa,947,Male,5,538582
547,2010,Sub-Saharan Africa,947,Male,10,560153
548,2010,Sub-Saharan Africa,947,Male,15,628004
549,2010,Sub-Saharan Africa,947,Male,20,748198
550,2010,Sub-Saharan Africa,947,Male,25,863204
551,2010,Sub-Saharan Africa,947,Male,30,883984
552,2010,Sub-Saharan Africa,947,Male,35,846758
553,2010,Sub-Saharan Africa,947,Male,40,736927
554,2010,Sub-Saharan Africa,947,Male,45,609744
555,2010,Sub-Saharan Africa,947,Male,50,479971
556,2010,Sub-Saharan Africa,947,Male,55,359100
557,2010,Sub-Saharan Africa,947,Male,60,255921
558,2010,Sub-Saharan Africa,947,Male,65,163016
559,2010,Sub-Saharan Africa,947,Male,70,93165
560,2010,Sub-Saharan Africa,947,Male,75,108436
561,2010,Sub-Saharan Africa,947,Female,0,533058
562,2010,Sub-Saharan Africa,947,Female,5,559719
563,2010,Sub-Saharan Africa,947,Female,10,578363
564,2010,Sub-Saharan Africa,947,Female,15,675322
565,2010,Sub-Saharan Africa,947,Female,20,787427
566,2010,Sub-Saharan Africa,947,Female,25,835506
567,2010,Sub-Saharan Africa,947,Female,30,766894
568,2010,Sub-Saharan Africa,947,Female,35,659239
569,2010,Sub-Saharan Africa,947,Female,40,530747
570,2010,Sub-Saharan Africa,947,Female,45,431276
571,2010,Sub-Saharan Africa,947,Female,50,334932
572,2010,Sub-Saharan Africa,947,Female,55,262417
573,2010,Sub-Saharan Africa,947,Female,60,198308
574,2010,Sub-Saharan Africa,947,Female,65,133330
575,2010,Sub-Saharan Africa,947,Female,70,78366
576,2010,Sub-Saharan Africa,947,Female,75,101689
577,2015,Sub-Saharan Africa,947,Both,0,1388116
578,2015,Sub-Saharan Africa,947,Both,5,1464227
579,2015,Sub-Saharan Africa,947,Both,10,1345971
580,2015,Sub-Saharan Africa,947,Both,15,1490777
581,2015,Sub-Saharan Africa,947,Both,20,2013854
582,2015,Sub-Saharan Africa,947,Both,25,2427206
583,2015,Sub-Saharan Africa,947,Both,30,2308226
584,2015,Sub-Saharan Africa,947,Both,35,2038398
585,2015,Sub-Saharan Africa,947,Both,40,1667509
586,2015,Sub-Saharan Africa,947,Both,45,1326085
